dataset,rep,term,beta_ij,vertex_gap_fitted,predicts_interior_optimum
santander,21,knn*xgb,0.23029776419153736,0.1219693922365529,True
santander,21,rf*xgb,0.05524525339699382,0.031117749193098176,True
santander,22,lr*gnb,0.017988962882783344,0.02806861376188774,False
santander,22,lr*knn,0.198916725857233,0.10290773063236536,True
santander,22,lr*rf,0.09294528475009545,0.00793070424046105,True
santander,22,lr*xgb,0.0437132236782507,0.022306413042881168,True
santander,22,gnb*knn,0.24516396656683614,0.1309763443942531,True
santander,22,gnb*rf,0.07546152298072517,0.03599931800234879,True
santander,22,gnb*xgb,0.020680382921865248,0.005762200719006572,True
santander,22,knn*rf,0.20219967296557995,0.0949770263919043,True
santander,22,knn*xgb,0.23381923694854995,0.12521414367524653,True
santander,22,rf*xgb,0.055012310024523,0.03023711728334222,True
santander,23,lr*gnb,0.01840936700691076,0.028802999541939545,False
santander,23,lr*knn,0.19992985873683353,0.10301902336212065,True
santander,23,lr*rf,0.09378688536864643,0.008870397565629462,True
santander,23,lr*xgb,0.04394466284247889,0.022873816306000938,True
santander,23,gnb*knn,0.24691123509636714,0.1318220229040602,True
santander,23,gnb*rf,0.07634203285147656,0.03767339710756901,True
santander,23,gnb*xgb,0.02101516090049471,0.0059291832359386065,True
santander,23,knn*rf,0.20087874498446223,0.09414862579649119,True
santander,23,knn*xgb,0.2347098447141526,0.1258928396681216,True
santander,23,rf*xgb,0.054613834811096496,0.0317442138716304,True
santander,24,lr*gnb,0.01798007914411659,0.02788234337919504,False
santander,24,lr*knn,0.19836593501495173,0.10267148673001447,True
santander,24,lr*rf,0.09330498949232036,0.010093129539240353,True
santander,24,lr*xgb,0.04356410123574084,0.021813123870129236,True
santander,24,gnb*knn,0.24367827569463918,0.1305538301092095,True
santander,24,gnb*rf,0.07622413190319155,0.03797547291843539,True
santander,24,gnb*xgb,0.021026818437740347,0.006069219509065804,True
santander,24,knn*rf,0.19958159090576233,0.09257835719077412,True
santander,24,knn*xgb,0.2322346545825726,0.12448461060014371,True
santander,24,rf*xgb,0.05656855778150183,0.03190625340936959,True
santander,25,lr*gnb,0.018837341039852296,0.02839325536902071,False
santander,25,lr*knn,0.1953591453265372,0.10084536470250904,True
santander,25,lr*rf,0.09423841918265163,0.010339500912695754,True
santander,25,lr*xgb,0.04288931221356784,0.022390771585423352,True
santander,25,gnb*knn,0.24145637353990113,0.12923862007152975,True
santander,25,gnb*rf,0.07686592221343724,0.03873275628171646,True
santander,25,gnb*xgb,0.020426602340267386,0.006002483783597357,True
santander,25,knn*rf,0.19624918467784158,0.09050586378981329,True
santander,25,knn*xgb,0.23147168996797635,0.1232361362879324,True
santander,25,rf*xgb,0.05590704664356272,0.032730272498119106,True
santander,26,lr*gnb,0.018383770673696453,0.027895331888331154,False
santander,26,lr*knn,0.19573686839339954,0.10075110000733922,True
santander,26,lr*rf,0.09235750466266102,0.00927790786262761,True
santander,26,lr*xgb,0.043400593438485346,0.021463371639776185,True
santander,26,gnb*knn,0.2411947194836408,0.12864643189567038,True
santander,26,gnb*rf,0.07539069563006606,0.037173239750958764,True
santander,26,gnb*xgb,0.02114430242295784,0.006431960248554969,True
santander,26,knn*rf,0.19716328527382876,0.09147319214471161,True
santander,26,knn*xgb,0.2295178835234239,0.12221447164711541,True
santander,26,rf*xgb,0.054659046182824245,0.030741279502403795,True
santander,27,lr*gnb,0.01786838372252636,0.028239754120286564,False
santander,27,lr*knn,0.19697124743195643,0.10103089018675782,True
santander,27,lr*rf,0.09178355743877564,0.008433333884330207,True
santander,27,lr*xgb,0.043227356826237795,0.022698791868534185,True
santander,27,gnb*knn,0.24273884963457615,0.12927064430704438,True
santander,27,gnb*rf,0.07568358384634932,0.03667308800461677,True
santander,27,gnb*xgb,0.02044009651399592,0.005540962251752379,True
santander,27,knn*rf,0.19949505508047616,0.09259755630242761,True
santander,27,knn*xgb,0.233142082519956,0.123729682055292,True
santander,27,rf*xgb,0.05463258369103574,0.031132125752864392,True
santander,28,lr*gnb,0.018060284126992787,0.028303759516040694,False
santander,28,lr*knn,0.1968641405095241,0.10127656519790051,True
santander,28,lr*rf,0.09281243459132416,0.008576847940481525,True
santander,28,lr*xgb,0.04500964124605633,0.022124418835641424,True
santander,28,gnb*knn,0.24269907985474903,0.1295803247139412,True
santander,28,gnb*rf,0.07612285919585404,0.03688060745652222,True
santander,28,gnb*xgb,0.021218563981465266,0.00617934068039927,True
santander,28,knn*rf,0.19779218893122197,0.09269971725741899,True
santander,28,knn*xgb,0.2325607074010977,0.12340098403354194,True
santander,28,rf*xgb,0.05512303472383806,0.03070126677612295,True
santander,29,lr*gnb,0.018222671754069997,0.02851953290937581,False
santander,29,lr*knn,0.19953597247974364,0.10272520184932865,True
santander,29,lr*rf,0.09276123252167168,0.007927870970933393,True
santander,29,lr*xgb,0.043479812202946944,0.02383745132837145,True
santander,29,gnb*knn,0.24530945996078524,0.13124473475870446,True
santander,29,gnb*rf,0.07573836296166803,0.036447403880309204,True
santander,29,gnb*xgb,0.020686624044399804,0.00468208158100436,True
santander,29,knn*rf,0.20115352226512306,0.09479733087839526,True
santander,29,knn*xgb,0.23656227475236002,0.1265626531777001,True
santander,29,rf*xgb,0.05634108412070571,0.03176532229930484,True
bnp,0,lr*gnb,0.15169294612771445,0.10398071096973938,True
bnp,0,lr*knn,0.08538837111358549,0.05223395952077803,True
bnp,0,lr*rf,0.009315094596039852,0.009326556771842132,False
bnp,0,lr*xgb,0.031117175405648956,0.014314818931589368,True
bnp,0,gnb*knn,0.08887086655983722,0.05174675144896135,True
bnp,0,gnb*rf,0.1572291274866513,0.11330726774158151,True
bnp,0,gnb*xgb,0.16741184107434237,0.11829552990132874,True
bnp,0,knn*rf,0.06095000001981554,0.06156051629262016,False
bnp,0,knn*xgb,0.11467224781042332,0.0665487784523674,True
bnp,0,rf*xgb,0.019346209778990264,0.0049882621597472365,True
bnp,1,lr*gnb,0.15852360655830927,0.10645438347545988,True
bnp,1,lr*knn,0.08630713266211099,0.05392861061035281,True
bnp,1,lr*rf,0.009432888575163334,0.007415396575484179,True
bnp,1,lr*xgb,0.03159631958780307,0.010799116655127006,True
bnp,1,gnb*knn,0.09687281808360404,0.05252577286510707,True
bnp,1,gnb*rf,0.16381253180972755,0.11386978005094406,True
bnp,1,gnb*xgb,0.17411582505138057,0.11725350013058689,True
bnp,1,knn*rf,0.06033103272697593,0.06134400718583699,False
bnp,1,knn*xgb,0.11206441276052366,0.06472772726547982,True
bnp,1,rf*xgb,0.018410978968555813,0.003383720079642827,True
bnp,2,lr*gnb,0.11227063120264225,0.08983526129725372,True
bnp,2,lr*knn,0.08599799592068319,0.053665262873904496,True
bnp,2,lr*rf,0.011167060364991599,0.008171008648637845,True
bnp,2,lr*xgb,0.03213502547135483,0.010924975722666708,True
bnp,2,gnb*knn,0.06453092085716716,0.036169998423349226,True
bnp,2,gnb*rf,0.11843832077976901,0.09800626994589157,True
bnp,2,gnb*xgb,0.12581215093378062,0.10076023701992043,True
bnp,2,knn*rf,0.061763451645057366,0.06183627152254234,False
bnp,2,knn*xgb,0.1126704720358793,0.0645902385965712,True
bnp,2,rf*xgb,0.019296592818061953,0.0027539670740288624,True
bnp,3,lr*gnb,0.11573938607042888,0.09279624934246111,True
bnp,3,lr*knn,0.08537723356199256,0.05101372454709441,True
bnp,3,lr*rf,0.010202097430944357,0.008957162058914503,True
bnp,3,lr*xgb,0.03289532431240838,0.0135389880230109,True
bnp,3,gnb*knn,0.0668261407065387,0.041782524795366704,True
bnp,3,gnb*rf,0.11998773332667756,0.10175341140137562,True
bnp,3,gnb*xgb,0.12968528823073067,0.10633523736547201,True
bnp,3,knn*rf,0.06168762441141151,0.05997088660600891,True
bnp,3,knn*xgb,0.11374224619979402,0.06455271257010531,True
bnp,3,rf*xgb,0.019451065466601136,0.004581825964096398,True
bnp,4,lr*gnb,0.15904241494722782,0.10730214548417438,True
bnp,4,lr*knn,0.08511748496010715,0.05079806183291791,True
bnp,4,lr*rf,0.009332718294134068,0.00946254402006308,False
bnp,4,lr*xgb,0.03335709483674831,0.013447679520993239,True
bnp,4,gnb*knn,0.099160015863899,0.056504083651256476,True
bnp,4,gnb*rf,0.16553169866602946,0.11676468950423746,True
bnp,4,gnb*xgb,0.1775302806332436,0.12074982500516762,True
bnp,4,knn*rf,0.06158642100900513,0.060260605852980986,True
bnp,4,knn*xgb,0.11434235025675236,0.06424574135391115,True
bnp,4,rf*xgb,0.01943638917839019,0.003985135500930159,True
bnp,5,lr*gnb,0.12227874699365304,0.09234421799028192,True
