StdOrder,RunOrder,PtType,Blocks,subsample,colsample_bytree,colsample_bylevel,learning_rate,max_depth,gamma,n_estimators,Accuracy_Mean,Precision_Mean,Recall_Mean,Specificity_Mean,Time_MeanFold
18.0,18.0,1.0,1.0,1.0,0.05,0.05,0.01,18.0,0.05,700.0,0.7964773922187172,0.8622760103547689,0.5013452914798207,0.9565360898491063,3.7195171998115257
19.0,19.0,1.0,1.0,0.05,1.0,0.05,0.01,18.0,0.05,700.0,0.8690325972660358,0.8674525722366339,0.7408779443973021,0.9385334920545688,2.8555472664069383
20.0,20.0,1.0,1.0,1.0,1.0,0.05,0.01,18.0,0.05,50.0,0.8100420609884333,0.9672250481158621,0.4759275221839493,0.9912422895439592,0.29955131697934123
21.0,21.0,1.0,1.0,0.05,0.05,1.0,0.01,18.0,0.05,700.0,0.792534174553102,0.898696344023378,0.4621716289173383,0.971699326486754,3.3357755000237375
22.0,22.0,1.0,1.0,1.0,0.05,1.0,0.01,18.0,0.05,50.0,0.6672450052576235,0.992624521072797,0.05412559407816845,0.9997567238727193,0.25844230041839183
23.0,23.0,1.0,1.0,0.05,1.0,1.0,0.01,18.0,0.05,50.0,0.8123554153522609,0.9530430230906731,0.4905807236377987,0.9868633850032102,0.19096138302702456
24.0,24.0,1.0,1.0,1.0,1.0,1.0,0.01,18.0,0.05,700.0,0.8788643533123028,0.8715993512311517,0.7688381614237976,0.9385337221806351,4.765874408418313
25.0,25.0,1.0,1.0,0.05,0.05,0.05,0.3,18.0,0.05,700.0,0.7870136698212409,0.7027472993075042,0.6833152776054192,0.8432543310547566,2.5323041168274356
26.0,26.0,1.0,1.0,1.0,0.05,0.05,0.3,18.0,0.05,50.0,0.8179284963196636,0.7971873580102606,0.646979774230731,0.9106394184254052,0.26289435860235244
27.0,27.0,1.0,1.0,0.05,1.0,0.05,0.3,18.0,0.05,50.0,0.8435856992639327,0.7946178016172557,0.7486539818190558,0.8950697134042844,0.1906252999790013
28.0,28.0,1.0,1.0,1.0,1.0,0.05,0.3,18.0,0.05,700.0,0.8790220820189274,0.867155052204953,0.7746712236417117,0.9356150332811606,0.8143966668052599
29.0,29.0,1.0,1.0,0.05,0.05,1.0,0.3,18.0,0.05,50.0,0.7826498422712934,0.7235353340172024,0.6182742972520636,0.8717975903170843,0.2195613748161122
30.0,30.0,1.0,1.0,1.0,0.05,1.0,0.3,18.0,0.05,700.0,0.8247108307045214,0.7699814751786136,0.7154593925002207,0.8839607063029229,1.7609867080347612
31.0,31.0,1.0,1.0,0.05,1.0,1.0,0.3,18.0,0.05,700.0,0.8143007360672975,0.7303881070747302,0.7480579750976295,0.850227611117193,1.7392227581702173
32.0,32.0,1.0,1.0,1.0,1.0,1.0,0.3,18.0,0.05,50.0,0.8781808622502629,0.8665557683783673,0.7725777654052253,0.9354522355267963,0.31922424158547075
33.0,33.0,1.0,1.0,0.05,0.05,0.05,0.01,3.0,5.0,50.0,0.6506834910620399,1.0,0.006578098569740389,1.0,0.05105364131741226
34.0,34.0,1.0,1.0,1.0,0.05,0.05,0.01,3.0,5.0,700.0,0.7959516298633018,0.9258836549607841,0.456339349300634,0.9801327235650078,0.73022038359195
35.0,35.0,1.0,1.0,0.05,1.0,0.05,0.01,3.0,5.0,700.0,0.8406940063091483,0.9086634294528849,0.6082506291554727,0.9667530296918514,0.5912395915947855
36.0,36.0,1.0,1.0,1.0,1.0,0.05,0.01,3.0,5.0,50.0,0.7037329127234491,0.988896927446727,0.15923933398401033,0.9990269612411817,0.05694535821676254
37.0,37.0,1.0,1.0,0.05,0.05,1.0,0.01,3.0,5.0,700.0,0.787434279705573,0.9354236481485471,0.4249404943580043,0.9840250758511953,0.5763983916025609
38.0,38.0,1.0,1.0,1.0,0.05,1.0,0.01,3.0,5.0,50.0,0.6662986330178758,0.9951219512195122,0.051284863486398956,0.9998377939983779,0.057046316633932295
39.0,39.0,1.0,1.0,0.05,1.0,1.0,0.01,3.0,5.0,50.0,0.7811251314405888,0.9396836605682346,0.40355893490211336,0.9858903133692396,0.0596828502137214
40.0,40.0,1.0,1.0,1.0,1.0,1.0,0.01,3.0,5.0,700.0,0.8657202944269191,0.8901125311191486,0.7052915021806624,0.9527245775625113,0.756744583370164
41.0,41.0,1.0,1.0,0.05,0.05,0.05,0.3,3.0,5.0,700.0,0.8410620399579389,0.809815495823606,0.7165066247192418,0.9086112516523872,0.4240040165837854
42.0,42.0,1.0,1.0,1.0,0.05,0.05,0.3,3.0,5.0,50.0,0.8436908517350158,0.8564251915598435,0.6674623484967908,0.9392639450643054,0.05371518339961767
43.0,43.0,1.0,1.0,0.05,1.0,0.05,0.3,3.0,5.0,50.0,0.8430599369085174,0.8350846642654375,0.6898919227729126,0.92612795469541,0.042902433406561614
44.0,44.0,1.0,1.0,1.0,1.0,0.05,0.3,3.0,5.0,700.0,0.8648790746582545,0.8677161127324051,0.726673956037936,0.93983120581785,0.3258690083632246
45.0,45.0,1.0,1.0,0.05,0.05,1.0,0.3,3.0,5.0,50.0,0.8287066246056783,0.8322015116038644,0.6427920751565482,0.9295328999730753,0.043691208399832246
46.0,46.0,1.0,1.0,1.0,0.05,1.0,0.3,3.0,5.0,700.0,0.8538380651945321,0.8422293735314085,0.7190471718469276,0.9269382614501691,0.3508190582040697
47.0,47.0,1.0,1.0,0.05,1.0,1.0,0.3,3.0,5.0,700.0,0.8281282860147213,0.7612228319014726,0.7449159430400479,0.8732564580771125,0.7814163668081164
48.0,48.0,1.0,1.0,1.0,1.0,1.0,0.3,3.0,5.0,50.0,0.8704521556256573,0.8797574505187928,0.7316070268644637,0.9457506399970281,0.050059049809351566
49.0,49.0,1.0,1.0,0.05,0.05,0.05,0.01,18.0,5.0,700.0,0.7878548895899053,0.9349733078149086,0.4264359334699531,0.9838629027247254,0.5993282665964216
50.0,50.0,1.0,1.0,1.0,0.05,0.05,0.01,18.0,5.0,50.0,0.6665615141955835,0.9925353925353925,0.05218205987346456,0.9997567238727193,0.10450250001158565
51.0,51.0,1.0,1.0,0.05,1.0,0.05,0.01,18.0,5.0,50.0,0.6995793901156677,0.9913266858061738,0.14697820902831116,0.9992701716181577,0.0871812418103218
52.0,52.0,1.0,1.0,1.0,1.0,0.05,0.01,18.0,5.0,700.0,0.8688748685594112,0.8802429623055852,0.7259253420805789,0.9463990695016882,1.641623216541484
53.0,53.0,1.0,1.0,0.05,0.05,1.0,0.01,18.0,5.0,50.0,0.650893796004206,1.0,0.007176229494450797,1.0,0.0568944500060752
54.0,54.0,1.0,1.0,1.0,0.05,1.0,0.01,18.0,5.0,700.0,0.804416403785489,0.9141778129680909,0.48983210968044155,0.9750242207684829,1.155263441381976
55.0,55.0,1.0,1.0,0.05,1.0,1.0,0.01,18.0,5.0,700.0,0.8665615141955836,0.8697776390354196,0.7299618873210777,0.9406418413241322,1.132338016736321
56.0,56.0,1.0,1.0,1.0,1.0,1.0,0.01,18.0,5.0,50.0,0.8496319663512093,0.9280623406342808,0.6206635787458927,0.9738082017587549,0.2488942920230329
57.0,57.0,1.0,1.0,0.05,0.05,0.05,0.3,18.0,5.0,50.0,0.8276550998948474,0.828346499488583,0.64338987068074,0.9275867567051339,0.04465226677712053
58.0,58.0,1.0,1.0,1.0,0.05,0.05,0.3,18.0,5.0,700.0,0.8539957939011569,0.8423223541827239,0.7194947079388185,0.926937965573798,0.37339295002166184
59.0,59.0,1.0,1.0,0.05,1.0,0.05,0.3,18.0,5.0,700.0,0.8540483701366982,0.8239435754863808,0.7440189702533281,0.9137201160755879,0.4505613168235868
60.0,60.0,1.0,1.0,1.0,1.0,0.05,0.3,18.0,5.0,50.0,0.8669295478443744,0.8642686540262426,0.7374390828808222,0.9371555629195896,0.08075030818581581
61.0,61.0,1.0,1.0,0.05,0.05,1.0,0.3,18.0,5.0,700.0,0.8415878023133544,0.8117452789348502,0.7159091645955684,0.9097466607885896,0.4291011334164068
62.0,62.0,1.0,1.0,1.0,0.05,1.0,0.3,18.0,5.0,50.0,0.8433228180862249,0.8558055128124191,0.6668639939717347,0.939020504561263,0.07291145860217511
63.0,63.0,1.0,1.0,0.05,1.0,1.0,0.3,18.0,5.0,50.0,0.8534700315457414,0.8223044057467203,0.7441679998837278,0.9127471759422265,0.09219465858768672
64.0,64.0,1.0,1.0,1.0,1.0,1.0,0.3,18.0,5.0,700.0,0.8741850683491063,0.8656577529492433,0.7603169758500445,0.9359386234055963,0.34060790003277364
65.0,65.0,-1.0,1.0,0.05,0.525,0.525,0.155,10.5,2.525,375.0,0.8569400630914826,0.8264040021438174,0.7508966932862878,0.9144499773325825,0.6693653586087749
66.0,66.0,-1.0,1.0,1.0,0.525,0.525,0.155,10.5,2.525,375.0,0.8755520504731862,0.8765196996696183,0.7520934023364,0.9425070788421765,0.28392589997965845
67.0,67.0,-1.0,1.0,0.525,0.05,0.525,0.155,10.5,2.525,375.0,0.8513144058885385,0.8353260465866972,0.719046165645372,0.9230459420391339,0.4604060247540474
68.0,68.0,-1.0,1.0,0.525,1.0,0.525,0.155,10.5,2.525,375.0,0.8797055730809674,0.864906482089318,0.7797539948996761,0.9339114100119963,0.5408814250258729
69.0,69.0,-1.0,1.0,0.525,0.525,0.05,0.155,10.5,2.525,375.0,0.8770767613038906,0.8709553455886525,0.7636061369350877,0.9386144964299227,0.4655639667995274
70.0,70.0,-1.0,1.0,0.525,0.525,1.0,0.155,10.5,2.525,375.0,0.8786540483701367,0.8670004431896455,0.773623097021308,0.9356145730290276,0.5387650415534153
71.0,71.0,-1.0,1.0,0.525,0.525,0.525,0.01,10.5,2.525,375.0,0.8725026288117771,0.8924005445081449,0.7248790042629405,0.9525620756845182,1.183192241587676
72.0,72.0,-1.0,1.0,0.525,0.525,0.525,0.3,10.5,2.525,375.0,0.8750262881177708,0.8594045207148021,0.7707825900298841,0.9315598174903043,0.4618862997740507
73.0,73.0,-1.0,1.0,0.525,0.525,0.525,0.155,3.0,2.525,375.0,0.8750788643533124,0.8721462831693078,0.7555311458511514,0.939912210193204,0.36543134183157233
74.0,74.0,-1.0,1.0,0.525,0.525,0.525,0.155,18.0,2.525,375.0,0.876919032597266,0.8674027066200193,0.7673441757140956,0.9363444342860223,0.5384635666152462
75.0,75.0,-1.0,1.0,0.525,0.525,0.525,0.155,10.5,0.05,375.0,0.8774973711882229,0.8635458343577065,0.77392439848712,0.9336683311356294,1.2214292001910507
76.0,76.0,-1.0,1.0,0.525,0.525,0.525,0.155,10.5,5.0,375.0,0.8739747634069399,0.8709040290931208,0.7532894405854751,0.9394255921883378,0.31606864181812855
77.0,77.0,-1.0,1.0,0.525,0.525,0.525,0.155,10.5,2.525,50.0,0.8743953732912724,0.874347401944194,0.7507475518557152,0.9414529699576996,0.1457066166214645
78.0,78.0,-1.0,1.0,0.525,0.525,0.525,0.155,10.5,2.525,700.0,0.8800736067297581,0.8712049785509148,0.7733251495606812,0.9379658696743485,0.7603244414087384
79.0,79.0,0.0,1.0,0.525,0.525,0.525,0.155,10.5,2.525,375.0,0.8785488958990536,0.8711864044065472,0.7682407013001241,0.9383716476796223,0.5011156915919855
80.0,80.0,0.0,1.0,0.525,0.525,0.525,0.155,10.5,2.525,375.0,0.8785488958990536,0.8711864044065472,0.7682407013001241,0.9383716476796223,0.5005196079844609
81.0,81.0,0.0,1.0,0.525,0.525,0.525,0.155,10.5,2.525,375.0,0.8785488958990536,0.8711864044065472,0.7682407013001241,0.9383716476796223,0.5003725666319951
82.0,82.0,0.0,1.0,0.525,0.525,0.525,0.155,10.5,2.525,375.0,0.8785488958990536,0.8711864044065472,0.7682407013001241,0.9383716476796223,0.4999608000041917
83.0,83.0,0.0,1.0,0.525,0.525,0.525,0.155,10.5,2.525,375.0,0.8785488958990536,0.8711864044065472,0.7682407013001241,0.9383716476796223,0.5009349081665277
84.0,84.0,0.0,1.0,0.525,0.525,0.525,0.155,10.5,2.525,375.0,0.8785488958990536,0.8711864044065472,0.7682407013001241,0.9383716476796223,0.5012993002077565
85.0,85.0,0.0,1.0,0.525,0.525,0.525,0.155,10.5,2.525,375.0,0.8785488958990536,0.8711864044065472,0.7682407013001241,0.9383716476796223,0.49844859139993786
86.0,86.0,0.0,1.0,0.525,0.525,0.525,0.155,10.5,2.525,375.0,0.8785488958990536,0.8711864044065472,0.7682407013001241,0.9383716476796223,0.5027261165669188
87.0,87.0,0.0,1.0,0.525,0.525,0.525,0.155,10.5,2.525,375.0,0.8785488958990536,0.8711864044065472,0.7682407013001241,0.9383716476796223,0.4992234334116802
88.0,88.0,0.0,1.0,0.525,0.525,0.525,0.155,10.5,2.525,375.0,0.8785488958990536,0.8711864044065472,0.7682407013001241,0.9383716476796223,0.5011607584077865
