dataset,role,replication,entity,method_key,gate_quality,gate_cost,gate_both,core_n_points,core_n_front,aug_n_points,self_grading_share,core__hv_ratio,core__igd_plus,core__gd,core__spacing,core__spacing_cv,core__joint_nondominated_fraction,core__n_front,augmented__hv_ratio,augmented__igd_plus,augmented__gd,augmented__spacing,augmented__spacing_cv,augmented__joint_nondominated_fraction,augmented__n_front
bank_marketing,primary_geometry_confirmatory,2,ANCHOR-INJECTION-CONTROL,nbi_s_plus_anchors,False,True,False,288,6,1262,,0.9405438762499562,0.03982896871677922,0.04044492803126029,0.2448384086866859,2.238147805011078,0.18181818181818182,11,0.7517325566116065,0.08266192653015521,0.03764945651825385,0.2604627977036816,2.2248603777715994,0.09090909090909091,11
bank_marketing,primary_geometry_confirmatory,2,GRID,grid,False,True,False,288,6,1262,0.25,1.0153091003066868,0.001219959235210942,0.03784977970541883,0.10410171775308838,0.5606250820792655,1.0,6,0.9025221376638419,0.03761316559761633,0.0,0.09272164554707249,0.4950211012595835,1.0,6
bank_marketing,primary_geometry_confirmatory,2,RANDOM,random,False,True,False,288,6,1262,0.0,0.49375307544265296,0.3258734090386152,0.1467906573092661,0.06153436033497796,0.8562310459235866,0.0,8,0.1783995155687973,0.3612837729942982,0.22939693522875876,0.06668396476555985,0.8765753969038028,0.0,8
bank_marketing,primary_geometry_confirmatory,2,NSGA2-MATCHED,nsga2,False,True,False,288,6,1262,0.5,0.978263260257151,0.07890883972331501,0.12360840692964221,0.025007609665422096,0.9690580638285453,0.5714285714285714,28,0.8287928660537182,0.0613437957620969,0.05386448375968146,0.026996459792471825,0.9555218916505716,0.42857142857142855,28
bank_marketing,primary_geometry_confirmatory,3,HISTORICAL-WS-asrun,historical_ws_asrun,False,True,False,288,6,1262,0.0,0.356914676352732,0.3248176497929307,0.1112085847206341,0.13498463304339747,2.7105323281999922,0.0,15,0.3137015776575237,0.4315775580632857,0.12216240191984223,0.13176896302590824,2.7086064351819483,0.0,15
bank_marketing,primary_geometry_confirmatory,3,HISTORICAL-WS,historical_ws,False,True,False,288,6,1262,0.2564,0.7591597129562527,0.18413376347415408,0.22409742921243853,0.13177139659697282,1.8214424933351956,0.7692307692307693,13,0.6805075273524508,0.08159756531440472,0.13892331307438005,0.12872469943124232,1.8209964687060092,0.7692307692307693,13
bank_marketing,primary_geometry_confirmatory,3,WS-S,ws_s,False,True,False,288,6,1262,0.2308,0.8199362615882808,0.16554447093097877,0.2309927336851881,0.10926901188405835,1.8116059549532597,0.75,12,0.7310015088202186,0.07034372858436926,0.1459958867848005,0.10701741985553383,1.8123993566357905,0.75,12
bank_marketing,primary_geometry_confirmatory,3,NBI-S,nbi_s,False,True,False,288,6,1262,0.1026,0.7764176031710533,0.1485641342830162,0.18386258761334368,0.13849691800219865,0.7431787074114522,0.4444444444444444,9,0.7002415282326306,0.06695400263449176,0.13100184128724515,0.1356112098128366,0.7441982043118802,0.4444444444444444,9
bank_marketing,primary_geometry_confirmatory,3,NBI-R,nbi_r,False,True,False,288,6,1262,0.0,0.17811000447489964,0.4115031336594528,0.3054565756826254,0.045323635060180015,0.8634314146284268,0.0,8,0.15854722676985714,0.5363390444669596,0.2666670451160897,0.04423566092901236,0.8618089195013626,0.0,8
bank_marketing,primary_geometry_confirmatory,3,ANCHOR-INJECTION-CONTROL,nbi_s_plus_anchors,False,True,False,288,6,1262,,0.7764176031710533,0.1371890791876494,0.17094009091122966,0.14490155656487808,0.7670013863439883,0.4444444444444444,9,0.7002415282326306,0.06339301410421753,0.11836609927112887,0.1420964138145279,0.7688500828579088,0.4444444444444444,9
