subsample,colsample_bytree,colsample_bylevel,learning_rate,max_depth,gamma,n_estimators,Accuracy_Mean,Precision_Mean,Recall_Mean,Specificity_Mean,RocAuc_Mean,LogLoss_Mean,Leaves_Mean,Time_MeanFold
0.05,0.05,0.05,0.3,18.0,0.05,700,0.8527496355019981,0.7520491992621714,0.6095583131638775,0.933344599223567,0.9095598012616062,0.3152857840061188,1214.4,0.3216720169875771
1.0,0.05,0.05,0.3,18.0,0.05,50,0.8181447470416074,0.7710559777783176,0.3812916579500444,0.9629199665068129,0.8701173732978147,0.39419034123420715,172.0,0.04063732458744198
0.05,1.0,0.05,0.3,18.0,0.05,50,0.8488951856202049,0.734438032005662,0.6162156882575669,0.9260052218923651,0.9036704344125607,0.3266782283782959,630.8,0.0816289832117036
1.0,1.0,0.05,0.3,18.0,0.05,700,0.8627376666544988,0.7611375628326595,0.6543461424963389,0.9317993758087842,0.919520762488833,0.29879328012466433,6777.4,0.5326337920036167
0.05,0.05,1.0,0.3,18.0,0.05,50,0.8362136269644779,0.7323129131092765,0.5396269886021218,0.9345028240846464,0.8863985554309313,0.3545922815799713,556.2,0.06030539998319
1.0,0.05,1.0,0.3,18.0,0.05,700,0.8615359290887656,0.7600934249951077,0.6486837784929641,0.9320754510162137,0.919946214881659,0.29882522821426394,11653.8,0.6052680164109916
0.05,1.0,1.0,0.3,18.0,0.05,700,0.8001990169827081,0.5973515189534471,0.6062263698720284,0.8644816777041943,0.8432974931801821,1.0639760971069336,19858.8,1.4530905335908755
1.0,1.0,1.0,0.3,18.0,0.05,50,0.8574328518452511,0.7451338680493507,0.6498496122892597,0.9262263834969933,0.9152862504589641,0.32968419790267944,13359.0,0.19226510857697576
0.05,0.05,0.05,0.01,3.0,5.0,50,0.7510879025314091,0.0,0.0,1.0,0.8400902537602308,0.5520179986953735,74.4,0.03168283321429044
1.0,0.05,0.05,0.01,3.0,5.0,700,0.7604127212486768,0.9968253968253968,0.03762962367744018,0.9999448275862068,0.8881586227378925,0.45061838030815127,1511.0,0.3237102081766352
0.05,1.0,0.05,0.01,3.0,5.0,700,0.8372082738362367,0.8080288092796166,0.45421452727275247,0.9641341858871888,0.8966467537569521,0.3677950382232666,1690.4,0.38206294160336257
1.0,1.0,0.05,0.01,3.0,5.0,50,0.7510879025314091,0.0,0.0,1.0,0.8824481024012215,0.5048267841339111,289.6,0.045061208214610814
0.05,0.05,1.0,0.01,3.0,5.0,700,0.8287951231348332,0.8408471495038338,0.38545042193069834,0.9757215802694679,0.8963408174941823,0.3862169921398163,1566.2,0.3741443997947499
1.0,0.05,1.0,0.01,3.0,5.0,50,0.7510879025314091,0.0,0.0,1.0,0.8846565141903191,0.5286382079124451,246.2,0.04272841662168503
0.05,1.0,1.0,0.01,3.0,5.0,50,0.7510879025314091,0.0,0.0,1.0,0.8893449289038277,0.45322691798210146,334.2,0.04904755838215351
1.0,1.0,1.0,0.01,3.0,5.0,700,0.8554021588588583,0.793181686021734,0.5671004889159199,0.9509464109005099,0.9136111957490265,0.3113722145557404,4653.2,0.5090217250166461
0.05,0.05,0.05,0.3,3.0,5.0,700,0.8494341316143773,0.7723107902642751,0.5611090868535789,0.9449871355712872,0.9047451442847013,0.32659759521484377,773.2,0.26282287496142087
1.0,0.05,0.05,0.3,3.0,5.0,50,0.828547011116384,0.8854587103055399,0.3588037423057048,0.9842184517013017,0.8912309349085914,0.37198578715324404,115.4,0.03383183339610696
0.05,1.0,0.05,0.3,3.0,5.0,50,0.843963608175921,0.7795776386989391,0.5228100265862752,0.9503940168988354,0.8973053312299919,0.3449522078037262,98.4,0.034957083384506406
1.0,1.0,0.05,0.3,3.0,5.0,700,0.8583860737069715,0.7817627014925551,0.5985689961637626,0.9444902336911014,0.9155124209227999,0.30505003929138186,944.0,0.25284095825627445
0.05,0.05,1.0,0.3,3.0,5.0,50,0.8384098653880427,0.7740375350986286,0.49766500739123387,0.9513318413640862,0.8885074195124865,0.35931865572929383,94.4,0.03440031660720706
1.0,0.05,1.0,0.3,3.0,5.0,700,0.8654731001548178,0.7902847364311996,0.6257072240132668,0.9449318565882621,0.9218261205870381,0.29527963399887086,994.6,0.25687420840840786
0.05,1.0,1.0,0.3,3.0,5.0,700,0.8362964598064456,0.6928182204026543,0.6153827717057748,0.9095068432671081,0.8898640673044568,0.37029547691345216,2808.4,0.4809294166043401
1.0,1.0,1.0,0.3,3.0,5.0,50,0.8634008361444593,0.7888665308103572,0.616382216150989,0.9452629519677247,0.9202882991650678,0.29714229702949524,280.0,0.04239676676224917
0.05,0.05,0.05,0.01,18.0,5.0,700,0.7513780236156055,0.4,0.0011656952539550376,1.0,0.8888700054677621,0.47914369106292726,981.4,0.2939363416284323
1.0,0.05,0.05,0.01,18.0,5.0,50,0.7510879025314091,0.0,0.0,1.0,0.8793879837088564,0.5427537202835083,138.4,0.03640052480623126
0.05,1.0,0.05,0.01,18.0,5.0,50,0.7510879025314091,0.0,0.0,1.0,0.875047736686158,0.5121361494064331,208.2,0.04828130817040801
1.0,1.0,0.05,0.01,18.0,5.0,700,0.8549461745424718,0.7801498831224687,0.5812506494172216,0.9456490522950445,0.9127603355949999,0.3191721200942993,7185.4,0.860911675193347
0.05,0.05,1.0,0.01,18.0,5.0,50,0.7510879025314091,0.0,0.0,1.0,0.8741190563581476,0.5316400170326233,141.8,0.04136741657275707
1.0,0.05,1.0,0.01,18.0,5.0,700,0.8423058089923107,0.8406190724766059,0.4523829975297901,0.9715279744233843,0.9098997407427925,0.36277447938919066,4165.4,0.5915680998237803
0.05,1.0,1.0,0.01,18.0,5.0,700,0.8551119347060074,0.7606813851733245,0.6100554030820129,0.9363240161376266,0.9116981621202204,0.3162945568561554,3834.2,0.651217850157991
1.0,1.0,1.0,0.01,18.0,5.0,50,0.814994565275741,0.9824290782871546,0.26140459766611573,0.9984550506203853,0.912026155517135,0.4212293982505798,4484.8,0.16883204197511076
