subsample,colsample_bytree,colsample_bylevel,learning_rate,max_depth,gamma,n_estimators,Accuracy_Mean,Precision_Mean,Recall_Mean,Specificity_Mean,RocAuc_Mean,LogLoss_Mean,Leaves_Mean,Time_MeanFold
1.0,0.05,0.05,0.3,18.0,5.0,700,0.9013120131201312,0.6800163644740531,0.41657304107462245,0.9715534055463187,0.9375110434644158,0.20847969949245454,860.2,0.21801034156233073
0.05,1.0,0.05,0.3,18.0,5.0,700,0.9004100041000409,0.647415438289007,0.4696836661369083,0.9628217383783259,0.9301297296735138,0.2163891613483429,822.4,0.24196268341038377
1.0,1.0,0.05,0.3,18.0,5.0,50,0.8948339483394834,0.6858201978908912,0.3116253088070998,0.9793455326341212,0.9151655969458565,0.24063580930233003,151.4,0.032166558387689295
0.05,0.05,1.0,0.3,18.0,5.0,700,0.8997539975399753,0.6510188242362498,0.45123339260331596,0.9647464006443418,0.9308806569810173,0.21614111959934235,809.6,0.2397251335904002
1.0,0.05,1.0,0.3,18.0,5.0,50,0.8937679376793767,0.7121239792116281,0.26950218459714764,0.9842274786165165,0.9134147316866301,0.24846366047859192,147.8,0.0327647415921092
0.05,1.0,1.0,0.3,18.0,5.0,50,0.8973759737597377,0.6135884027569916,0.5124535150246783,0.9531519524720883,0.9265167150270619,0.2229983001947403,280.6,0.05073236662428826
1.0,1.0,1.0,0.3,18.0,5.0,700,0.9077900779007791,0.6566722005031018,0.5704510288324863,0.9566727156335494,0.9448086896187252,0.19134439826011657,1072.6,0.21796385799534618
0.05,0.525,0.525,0.155,10.5,2.525,375,0.8990569905699056,0.6183306812631552,0.5305875071464913,0.9524476830473573,0.930896804823288,0.21954517364501952,2402.0,0.3541517252102494
1.0,0.525,0.525,0.155,10.5,2.525,375,0.9079540795407954,0.6644189097786781,0.5516587727442002,0.9595830950657398,0.9452529099999574,0.19063923358917237,1549.2,0.16429046681150794
0.525,0.05,0.525,0.155,10.5,2.525,375,0.8972119721197211,0.7075914161088084,0.319705957944538,0.9808946631364499,0.9280024647416505,0.2286422520875931,643.2,0.1588086920324713
0.525,1.0,0.525,0.155,10.5,2.525,375,0.9045920459204592,0.6398639027645986,0.562668827660724,0.9541378789832006,0.9429431334502747,0.19569897055625915,3104.4,0.3046119167935103
0.525,0.525,0.05,0.155,10.5,2.525,375,0.8963509635096351,0.6917267110388851,0.3265225304610995,0.9789231516770183,0.9272867855545304,0.2299325406551361,617.2,0.15902249158825726
0.525,0.525,1.0,0.155,10.5,2.525,375,0.9055760557605576,0.6464789645020756,0.5600782573576077,0.9556399068745571,0.9423554118296618,0.19618530869483947,3111.2,0.30697355803567916
0.525,0.525,0.525,0.01,10.5,2.525,375,0.9042640426404264,0.7038239297962308,0.4204612568383398,0.9743698221559663,0.9443879525741712,0.2008698672056198,10941.6,0.602590550063178
0.525,0.525,0.525,0.3,10.5,2.525,375,0.9039770397703977,0.6387588978422742,0.5565189113205667,0.9543254851018024,0.9408792886766664,0.20036190152168273,1919.0,0.2547796750208363
0.525,0.525,0.525,0.155,3.0,2.525,375,0.9068880688806888,0.6647240449790021,0.5331869941726592,0.9610383068181443,0.943282084500475,0.19414111971855164,1449.8,0.2130165500100702
0.525,0.525,0.525,0.155,18.0,2.525,375,0.9072160721607215,0.6570628423133118,0.5584596098671408,0.9577523515496484,0.9436727266393768,0.19311728179454804,2291.0,0.2696997417835519
0.525,0.525,0.525,0.155,10.5,0.05,375,0.898359983599836,0.6101249920613323,0.5451784131380046,0.9495376121234959,0.9332406387492611,0.25246466100215914,37204.6,0.7580935584381223
0.525,0.525,0.525,0.155,10.5,5.0,375,0.9067240672406724,0.6590445901280602,0.5448526904900526,0.9591606810541728,0.9436940765681477,0.1932537376880646,894.8,0.17702245018444956
0.525,0.525,0.525,0.155,10.5,2.525,50,0.9051250512505125,0.6588747576675681,0.5189385952489601,0.9610853763746526,0.9428969189494449,0.19558862149715422,1025.2,0.07132616660092025
0.525,0.525,0.525,0.155,10.5,2.525,700,0.9054940549405494,0.6447300471243983,0.5639659486082044,0.9549827400607981,0.9423783200884872,0.1956198275089264,3037.0,0.4278645579935983
0.525,0.525,0.525,0.155,10.5,2.525,375,0.9058220582205824,0.64740714597274,0.5617011009530404,0.9556870094855293,0.9430605998891112,0.19420557022094725,2247.6,0.26676821678411217
0.525,0.525,0.525,0.155,10.5,2.525,375,0.9058220582205824,0.64740714597274,0.5617011009530404,0.9556870094855293,0.9430605998891112,0.19420557022094725,2247.6,0.2675922666210681
0.525,0.525,0.525,0.155,10.5,2.525,375,0.9058220582205824,0.64740714597274,0.5617011009530404,0.9556870094855293,0.9430605998891112,0.19420557022094725,2247.6,0.2656002165749669
0.525,0.525,0.525,0.155,10.5,2.525,375,0.9058220582205824,0.64740714597274,0.5617011009530404,0.9556870094855293,0.9430605998891112,0.19420557022094725,2247.6,0.2664690081961453
0.525,0.525,0.525,0.155,10.5,2.525,375,0.9058220582205824,0.64740714597274,0.5617011009530404,0.9556870094855293,0.9430605998891112,0.19420557022094725,2247.6,0.26591697479598225
0.525,0.525,0.525,0.155,10.5,2.525,375,0.9058220582205824,0.64740714597274,0.5617011009530404,0.9556870094855293,0.9430605998891112,0.19420557022094725,2247.6,0.2654478918062523
0.525,0.525,0.525,0.155,10.5,2.525,375,0.9058220582205824,0.64740714597274,0.5617011009530404,0.9556870094855293,0.9430605998891112,0.19420557022094725,2247.6,0.26829351659398526
0.525,0.525,0.525,0.155,10.5,2.525,375,0.9058220582205824,0.64740714597274,0.5617011009530404,0.9556870094855293,0.9430605998891112,0.19420557022094725,2247.6,0.26734325003344567
0.525,0.525,0.525,0.155,10.5,2.525,375,0.9058220582205824,0.64740714597274,0.5617011009530404,0.9556870094855293,0.9430605998891112,0.19420557022094725,2247.6,0.2651288749882951
0.525,0.525,0.525,0.155,10.5,2.525,375,0.9058220582205824,0.64740714597274,0.5617011009530404,0.9556870094855293,0.9430605998891112,0.19420557022094725,2247.6,0.26613118338864294
