subsample,colsample_bytree,colsample_bylevel,learning_rate,max_depth,gamma,n_estimators,Accuracy_Mean,Precision_Mean,Recall_Mean,Specificity_Mean,RocAuc_Mean,LogLoss_Mean,Leaves_Mean,Time_MeanFold
0.05,1.0,1.0,0.3,3.0,5.0,700,0.925,0.9096197086176435,0.9,0.9412556053811659,0.9726820782433896,0.21198944449424745,989.6,0.2088730749906972
1.0,1.0,1.0,0.3,3.0,5.0,50,0.9445652173913043,0.9443167787765475,0.913793103448276,0.9645739910313902,0.9852327199628886,0.15184834003448486,174.0,0.023851250018924474
0.05,0.05,0.05,0.01,18.0,5.0,700,0.8763586956521741,0.9656708570267517,0.7117241379310345,0.983408071748879,0.9622823565795577,0.39974974393844603,1067.0,0.21411120861303062
1.0,0.05,0.05,0.01,18.0,5.0,50,0.6505434782608696,0.9955555555555555,0.11379310344827587,0.9995515695067265,0.951551724137931,0.6023035049438477,208.6,0.029672974976710974
0.05,1.0,0.05,0.01,18.0,5.0,50,0.6864130434782609,0.9969696969696968,0.2048275862068966,0.9995515695067265,0.9543497757847532,0.574478805065155,146.0,0.02669128340203315
1.0,1.0,0.05,0.01,18.0,5.0,700,0.941304347826087,0.9484111638706658,0.9006896551724137,0.967713004484305,0.9832348847997526,0.1824326455593109,4808.6,0.5519268253818155
0.05,0.05,1.0,0.01,18.0,5.0,50,0.616304347826087,1.0,0.026206896551724135,1.0,0.9446976959950518,0.6066478133201599,102.6,0.02183190865907818
1.0,0.05,1.0,0.01,18.0,5.0,700,0.9157608695652174,0.9536092915521934,0.826896551724138,0.973542600896861,0.974412401422607,0.27940213680267334,2895.6,0.3856573999859393
0.05,1.0,1.0,0.01,18.0,5.0,700,0.9293478260869567,0.939540974775299,0.8779310344827586,0.9627802690582961,0.9716329055203339,0.21635856330394745,1703.2,0.3090931167593226
1.0,1.0,1.0,0.01,18.0,5.0,50,0.9271739130434782,0.9501777224155659,0.8606896551724137,0.9704035874439463,0.9618609865470853,0.43268523216247556,1638.8,0.10005075016524642
0.05,0.05,0.05,0.3,18.0,5.0,50,0.8826086956521738,0.8949739838994816,0.7958620689655173,0.9390134529147982,0.9462293180763879,0.3315738201141357,69.8,0.017380816396325827
1.0,0.05,0.05,0.3,18.0,5.0,700,0.9461956521739131,0.9495609840253891,0.9124137931034483,0.9681614349775785,0.9838449049018092,0.1579638034105301,868.4,0.1698877500137314
0.05,1.0,0.05,0.3,18.0,5.0,700,0.9195652173913043,0.9221175369325122,0.8696551724137931,0.9520179372197308,0.9692438534096182,0.2180655539035797,746.0,0.16968632496427744
1.0,1.0,0.05,0.3,18.0,5.0,50,0.944836956521739,0.9494346660749684,0.9089655172413792,0.9681614349775785,0.9832565331683935,0.16155566573143004,223.0,0.032675500004552306
