subsample,colsample_bytree,colsample_bylevel,learning_rate,max_depth,gamma,n_estimators,Accuracy_Mean,Precision_Mean,Recall_Mean,Specificity_Mean,RocAuc_Mean,LogLoss_Mean,Leaves_Mean,Time_MeanFold
1.0,1.0,0.05,0.01,18.0,0.05,50,0.7965295719738501,0.9684322260041714,0.4355140186915888,0.9922966121669899,0.9265995996660827,0.5007896244525909,24928.2,0.18963493339251727
0.05,0.05,1.0,0.01,18.0,0.05,700,0.7952150365134344,0.903570691404249,0.46766355140186916,0.9728363299682492,0.8747179249595222,0.4522823512554169,34824.8,1.5732188915833831
1.0,0.05,1.0,0.01,18.0,0.05,50,0.6591087966911414,0.9928571428571429,0.030654205607476635,0.9998986315255955,0.8348478786593378,0.6084542155265809,7393.2,0.14296206675935536
0.05,1.0,1.0,0.01,18.0,0.05,50,0.8068482499849938,0.9539197731847162,0.47364485981308413,0.9875325506290341,0.9133891228523779,0.49833624362945556,1918.6,0.0986634831642732
1.0,1.0,1.0,0.01,18.0,0.05,700,0.876971468521926,0.8717755977065297,0.7622429906542056,0.9391850262228022,0.932539254703911,0.31906515955924986,282336.4,2.9478742914041502
0.05,0.05,0.05,0.3,18.0,0.05,700,0.791140434326558,0.7090399951009572,0.688785046728972,0.8466446470102206,0.8422463449832787,0.6856998324394226,18065.4,1.1708652418572456
1.0,0.05,0.05,0.3,18.0,0.05,50,0.8145374036532003,0.8013801351582638,0.628785046728972,0.9152658149455337,0.8689601633624919,0.4183416783809662,6428.2,0.13929313339758664
0.05,1.0,0.05,0.3,18.0,0.05,50,0.8464117685923576,0.8072309523275439,0.7403738317757009,0.903912597164045,0.898978748062723,0.3907542824745178,1676.4,0.0930510418023914
1.0,1.0,0.05,0.3,18.0,0.05,700,0.8780891108306133,0.8659259989725792,0.7730841121495327,0.9350300485120556,0.9310299893758863,0.3486592352390289,20027.0,0.43441181681118907
0.05,0.05,1.0,0.3,18.0,0.05,50,0.7827945095333078,0.7274028577600411,0.6119626168224299,0.8754314450759006,0.8313235647503644,0.4729077696800232,2205.2,0.11156859979964792
1.0,0.05,1.0,0.3,18.0,0.05,700,0.8169693655070145,0.7566668189642768,0.7074766355140187,0.8763446343263233,0.8760196437377423,0.44993856549263,20779.6,1.0203022836009041
